https://wiki.apache.org/hadoop/MapReduce/,Apache MapReduce,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: ''> | reason: 
https://wiki.trafodion.org/wiki/index.php/Main_Page,Trafodion,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://usefulstuff.io/big-data/,big-data,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('The read operation timed out') | reason: 
http://hipi.cs.virginia.edu/,HIPI Library,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cloudera.com/products/apache-hadoop/impala.html,Cloudera Impala,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('The read operation timed out') | reason: 
http://www-users.cs.umn.edu/~sarwat/RecDB/,RecDB,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.alluxio.org/,Alluxio,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('The read operation timed out') | reason: 
http://peregrine_mapreduce.bitbucket.org/,Facebook Peregrine,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'peregrine_mapreduce.bitbucket.org'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'peregrine_mapreduce.bitbucket.org'. (_ssl.c:1076)
http://www.drizzle.org/,Drizzle,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.hypertable.org/,Hypertable,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://www.stormdb.com/community/stado,Stado,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://edgent.apache.org/,Apache Edgent (Incubating),https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://metrictools.org/,FnordMetric,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'metrictools.org'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'metrictools.org'. (_ssl.c:1076)
https://www.facebook.com/note.php?note_id=76191543919,Facebook Haystack,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('The read operation timed out') | reason: 
http://yahoohadoop.tumblr.com/post/98294079296/gridmix3-emulating-production-workload-for,Yahoo Gridmix3,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://db.lcs.mit.edu/projects/cstore/,C-Store,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.timescale.com/,TimescaleDB,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('timed out') | reason: 
https://www.pipelinedb.com/,PipelineDB,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://gemfirexd.docs.pivotal.io/latest/,Pivotal GemFire XD,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.blazegraph.com/mapgraph-technology/,MapGraph,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.vldb.org/pvldb/vol8/p1804-ching.pdf,2015,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('timed out') | reason: 
http://www.actian.com/analytic-database/vectorh-sql-hadoop,Actian SQL for Hadoop,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('The read operation timed out') | reason: 
http://www.etcml.com/,etcML,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 301: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Permanently'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently
https://sense.io/,Sense,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://dato.com/products/create/,GraphLab Create,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'dato.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'dato.com'. (_ssl.c:1076)
http://graphiteapp.org/,Graphite,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('timed out') | reason: 
http://db.disi.unitn.eu/pages/VLDBProgram/pdf/industry/p871-curtiss.pdf,2013,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: timeout('timed out') | reason: 
http://www.teradata.com/products-and-services/Teradata-Aster/teradata-aster-database,Aster Database,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.google.com/p/jaql/,JAQL,https://github.com/onurakpolat/awesome-bigdata#readme,Big Data error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
