http://www.arduino.cc/en/Guide/Introduction,Arduino - Introduction,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://clarifyhq.com/open,Clarify - Launch and manage your career,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://inside.gratipay.com/big-picture/welcome,Welcome to Gratipay,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://wayback.archive.org/web/20120727175118/http://www.openbusiness.cc/open100/about/,competition held in 2009-2010,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://neocities.org/blog/open-company-progress-report-2014,The first Neocities Open Company report,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://thevarguy.com/var-guy/var-guys-open-source-50,The Open Source 50,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://blog.growstuff.org/2013/02/20/why-growstuff-is-open-source/,Why Growstuff is open source,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://tessel.io/opensource,Open Source - Tessel,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://wayback.archive.org/web/20120509194329/http://www.thevarguy.com/the-open-source-50/the-open-source-50-a-to-z-2010-edition/,2010 list,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://thevarguy.com/open-source-application-software-companies/top-50-open-source-companies-where-are-they-now,2012 update,https://github.com/opencompany/awesome-open-company#readme,Open Companies error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
