http://thesaasbootstrapper.com/book-list/,The SaaS Bootstrapper book list,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.singlefounderhandbook.com/,The Single Founder Handbook,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hackernoon.com/@fpgaminer,fpgaminer,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://discuss.joelonsoftware.com/default.asp?biz,The Business of Software,https://github.com/mezod/awesome-indie#readme,Indie error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://thesaasbootstrapper.com/resources/,The SaaS Bootstrapper,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://groundera.com/,Groundera.com,https://github.com/mezod/awesome-indie#readme,Indie error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
http://thesaasbootstrapper.com/saas-startup-resources/,The SaaS Bootstrapper Startup Resources,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://groundera.com/about,Philipp,https://github.com/mezod/awesome-indie#readme,Indie error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
https://books.makesideproject.com/,SideProject Books,https://github.com/mezod/awesome-indie#readme,Indie error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'books.makesideproject.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'books.makesideproject.com'. (_ssl.c:1076)
http://thesaasbootstrapper.com/,The SaaS Bootstrapper,https://github.com/mezod/awesome-indie#readme,Indie error: <HTTPError 404: 'Not Found'> | reason: Not Found
