https://addons.mozilla.org/en-US/firefox/addon/sourcegraph/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://chrome.google.com/webstore/detail/asciinema-player-for-gith/mkllmpcfhjcbkmegdpnaemhpdddffhil,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.mozilla.org/en-US/firefox/addon/follow-github-organization/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://chrome.google.com/webstore/detail/github-categoric/gbfpmfhnfmobaichcfnhdobencecomhg,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.opera.com/extensions/details/github-tab-size/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.opera.com/extensions/details/github-hide-files/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.mozilla.org/firefox/addon/github-awesome-autocomplete/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.mozilla.org/en-US/firefox/addon/builds-tab-for-github/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://addons.mozilla.org/en-US/firefox/addon/hacker-tab/,,https://github.com/stefanbuck/awesome-browser-extensions-for-github#readme,Browser Extensions error: <HTTPError 404: 'Not Found'> | reason: Not Found
