https://www.aws-glossary.info,Automatically generated glossary of services,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://codecov.io/github/donnemartin/saws/awesome-aws,,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/grp/home?gid=4387417,Amazon AWS Architects,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.aws.amazon.com/sdk-for-ruby/v2/developer-guide/setup-install.html,Install,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.aws.amazon.com/gettingstarted/latest/emr/getting-started-emr-overview.html,Analyzing Big Data,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.aws.amazon.com/gettingstarted/latest/emr/getting-started-emr-sentiment-tutorial.html,Sentiment Analysis,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/grps?gid=3748455,Amazon AWS Architects, Engineers, Developers, Consultants, Entrepreneurs Experts,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: timeout('The read operation timed out') | reason: 
https://www.linkedin.com/grps?gid=5122002,Amazon Web Services (AWS) for Business,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/grps?gid=4233997,Amazon Web Services Architects,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.aws.amazon.com/gettingstarted/latest/emr/getting-started-emr-tutorial.html,Web Server Log Analysis,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: timeout('timed out') | reason: 
https://aws.amazon.com/solutions/case-studies/dropcam/,Dropcam,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: timeout('The read operation timed out') | reason: 
http://docs.aws.amazon.com/AWSECommerceService/latest/GSG/Welcome.html,Product Advertising API,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://brendanhay.nz/amazonka-doc/,Docs,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/grps?gid=2485626,Amazon Web Services Enthusiasts,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/grps?gid=86137,Amazon Web Services Users,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://web.archive.org/web/20161210062336/https://aws.amazon.com/solutions/case-studies/nokia/,Nokia,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: timeout('The read operation timed out') | reason: 
https://aws.amazon.com/documentation/quickstart/,Quick Start Deployment Guides,https://github.com/donnemartin/awesome-aws#readme,Amazon Web Services error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
