http://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/18739426-the-bands-of-mourning,The Bands of Mourning,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/17261174-delilah-dirk-and-the-turkish-lieutenant,Delilah Dirk and the Turkish Lieutenant,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/41221-deltora-quest,Deltora Quest Series,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/55401.Deadhouse_Gates,Deadhous Gates,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/29467232-the-blood-mirror,The Blood Mirror,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/10572.A_Clash_of_Kings,A Clash of Kings,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://burntfen.com,Richard Littauer,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/18630542-seconds,Seconds,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/40874032-vicious,Vicious,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/49673-lightbringer,The Lightbringer Series,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Jonathan Strange & Mr. Norrell,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/821431.The_Children_of_H_rin,Children of Húrin,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/155238.The_Forests_of_Silence,The Forests of Silence,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
