https://news.ycombinator.com/item?id=21231455,Some reasons why enterprise software is good and maybe even fun,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=28678098,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
http://jatins.gitlab.io/me/why-deadline/,Who are you trying to impress with your deadlines?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=20963513,hinted by HN comment,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20787874,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=19187593,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/1595621113/?tag=kevideld-20,First, Break All the Rules: What the World's Greatest Managers Do Differently,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=19050555,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.cia.gov/news-information/featured-story-archive/2012-featured-story-archive/CleanedUOSSSimpleSabotage_sm.pdf,Simple Sabotage Field Manual,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=5496914,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20448929,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
