https://www.rstudio.com/resources/videos/tidying-up-your-network-analysis-with-tidygraph-and-ggraph/,Tidying up your network analysis with tidygraph and ggraph,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.swansea.ac.uk/medicine/enterpriseandinnovation/networkscienceresearchcentre/,Network Science Research Centre, Swansea University,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
http://www.cambridge.org/us/academic/subjects/sociology/research-methods-sociology-and-criminology/exploratory-social-network-analysis-pajek-2nd-edition,Exploratory Social Network Analysis with Pajek,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
http://arxiv.org/abs/1205.4324,preprint,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: ConnectionResetError(54, 'Connection reset by peer') | reason: 
http://www.christoph-stadtfeld.com/netsim/,NetSim,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.cornell.edu/video/six-degrees-of-separation-panel,Panel: Six Degrees of Separation,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
https://arshs.hypotheses.org/,GDR ARSHS,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
https://statnet.org/trac,wiki,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://books.wwnorton.com/books/Nexus/,Nexus. Small Worlds and the Groundbreaking Theory of Networks,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
http://danlarremore.com/CommunityDetection_and_Ranking_Larremore_2019.pdf,Large-scale Structures in Networks: Hidden Communities and Latent Hierarchies,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://danlarremore.com/,Dan Larremore,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.cornell.edu/video/cornellx-networks-crowds-and-markets,presentation,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Page Not Found'> | reason: Page Not Found
https://docs.google.com/spreadsheets/d/1CoFGtrW85D9FsVcAE5-bcXVl6QOTncwXjFBYp4u2WgE/edit?usp=sharing,this Google spreadsheet,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 410: 'Gone'> | reason: Gone
http://www.cs.sandia.gov/~smartin/software.html,OpenOrd: Large-scale Graph Layout (formerly DrL),https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0027407,The Small World of Psychopathology,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
http://www.insna.org/archives.html,Sunbelt - Social Networks Conference of the International Network for Social Network Analysis,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
