https://www.goodreads.com/book/show/7108725-start-with-why,4.07,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/112731.How_to_Win_Every_Argument,3.55,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/2615.The_Innovator_s_Dilemma,4.00,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/7776209-the-rational-optimist,3.98,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/9420697-the-compound-effect,4.40,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/368593.The_4_Hour_Workweek,3.61,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/611466.The_Actor_and_the_Target,4.25,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/83321.Irrational_Man,4.09,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/656.War_and_Peace,4.11,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,4.14,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/37124.8_Weeks_to_Optimum_Health,3.86,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/95429.Leaving_Microsoft_to_Change_the_World,4.07,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/1565533.The_22_Immutable_Laws_of_Branding,3.93,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/6262510-rapt,3.54,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/31242.Bleak_House,4.00,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/13530973-antifragile,4.04,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/567720.Freedom_in_Exile,4.24,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/88552.Rare_Earth,4.06,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/29506.Prisoner_s_Dilemma,3.91,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/582533.Creative_Visualization,4.13,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/14721.The_Wealth_of_Networks,3.95,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/36086.The_Ghost_Map,3.91,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/548914.The_Little_Schemer,4.27,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/41793.Hackers_Painters,4.06,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/599321.Mind_Wars,3.45,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/66175-the-lord-of-the-rings,4.47,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/80689.The_Fifth_Sacred_Thing,4.25,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/7090193-tattoos-on-the-heart,4.41,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/64473-the-broken-empire,3.87,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/7640261-sex-at-dawn,4.02,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/1581330.Snoop,3.33,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler,4.08,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/10256723-ghost-in-the-wires,3.95,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/460635.The_Bone_People,4.06,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,4.18,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/7815744-the-upside-of-irrationality,4.00,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/10639.The_Paradox_of_Choice,3.84,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/353435.Education_and_the_Significance_of_Life,4.38,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/59780.Cosmicomics,4.2,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/698866.The_Myth_of_the_Rational_Voter,3.96,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/5040579-why-we-make-mistakes,3.87,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/6342995-the-score-takes-care-of-itself,4.21,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/8664353-unbroken,4.39,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/256008.Lonesome_Dove,4.47,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/16080353-out-of-control,4.24,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/113310.The_Eight,4.17,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/11515298-currency-wars,3.96,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/10016013-harry-potter-and-the-methods-of-rationality,4.38,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/2096.God_Created_The_Integers,4.06,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/10475421-civilization,3.78,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/1334872.Thinking_Shakespeare,4.62,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/18176747-the-hard-thing-about-hard-things,4.20,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: timeout('The read operation timed out') | reason: 
