https://www.curseforge.com/minecraft/mc-mods/actually-additions,Actually Additions,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/baubles,Baubles,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/attributefix,Attribute Fixer,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/aroma1997s-dimensional-world,Aroma1997's Dimensional World,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/texture-packs/lb-photo-realism-reload,LB Photo Realism Reload,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/texture-packs/default-dark-mode,Default Dark Mode,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/warpdrive,WarpDrive,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/pams-harvestcraft,Pam's HarvestCraft,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/agricraft,AgriCraft,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/bonsai-trees,Bonsai Trees,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/ex-nihilo-creatio,Ex Nihilo: Creatio,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://skin.lim-light.com/,Live Demo,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.curseforge.com/minecraft/mc-mods/rift,Rift,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/betterfps,BetterFps,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/tabula-minecraft-modeler,Tabula,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.net/,Minecraft,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: timeout('The read operation timed out') | reason: 
