https://azure.microsoft.com/services/virtual-machines/,Virtual Machines,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://micro-jaymock.now.sh/,micro-jaymock,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://staroid.com,staroid.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
https://d.android.com/studio,Android Studio,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
https://smsreceivefree.com/,smsreceivefree.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://azure.microsoft.com/services/app-service/,App Service,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://report-uri.io/,report-uri.io,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://kritika.io/,Kritika,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://azure.microsoft.com/services/functions/,Functions,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.suse.com,SUSE Developer Program,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mobile-patterns.com/,Mobile Patterns,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://haveibeenpwned.com,Have I been pwned?,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://azure.microsoft.com/services/devtest-lab/,DevTest Labs,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://postbacks.io/,Postbacks,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://developers.cloudflare.com/cloudflare-one/connections/connect-apps/run-tunnel/trycloudflare,Quick Tunnels,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.datastax.com/products/datastax-astra/,Astra,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://similarweb.com,Similar Web,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://word-simi.herokuapp.com/,Similar Words API,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: timeout('The read operation timed out') | reason: 
