https://goodworkfor.life/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://babybuddy.herokuapp.com/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: timeout('The read operation timed out') | reason: 
http://demoshop.oxid-esales.com/community-edition/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
https://demo.routr.io/login,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://agendav.org/,AgenDAV,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bitwarden.com/,Bitwarden,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.citadel.org/doku.php,Citadel,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bestpractical.com/rt/,Request Tracker,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: timeout('The read operation timed out') | reason: 
http://lms.demo.poupon.io/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://friends-radio.herokuapp.com/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: timeout('The read operation timed out') | reason: 
https://mydrive-demo.herokuapp.com/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: timeout('The read operation timed out') | reason: 
